Automated Reasoning, UE, Tue. 06.10.20 12:45 - 13:30
Automatic Control 2, VO, Wed. 07.10.20 08:30 - 10:00
Special Topics optimization Optimization in Function Spaces, VL, Tue. 06.10.20 08:30 - 10:00
Radar Signal Processing, UE, Wed. 07.10.20 15:30 - 17:00
Medical Imaging, UE, Mon. 05.10.20 14:30 - 15:15
Project Management, KV, Mon. 05.10.20 08:30 - 11:45
LSTM and Recurrent Neural Nets, VL, Mon. 05.10.20 15:30 - 17:00
AI and Law I, VL, Fri. 09.10.20 12:00 - 13:30
Computer Algebra, VL, Tue. 06.10.20 16:15 - 18:00
Signal and Systems 2, UE, Mon. 12.10.20 12:00 - 13:30
Stochastic processes, VO, Tue. 06.10.20 13:45 - 15:15
Machine Learning: Supervised Techniques, VL, Wed. 07.10.20 15:30 - 17:00
Thinking Speaking Writing Understanding and Creating Mathematical Proofs, VO, Tue. 06.10.20 13:45 - 15:15
Visual Analytics, VL, Mon. 05.10.20 10:15 - 11:45
Instrumental Analytical Chemistry, VL, Thu. 08.10.20 10:15 - 11:45
Seminar in AI (Master) Machine Learning, SE, Thu. 08.10.20 08:30 - 10:00
Topics in Genetics & Evolution, KV, Tue. 06.10.20 08:15 - 10:00
Control Systems, UE, Mon. 19.10.20 10:15 - 11:45
Control System Technology 1, VO, Thu. 08.10.20 13:45 - 17:00
Pervasive Computing: Design and Development, UE, Wed. 07.10.20 12:45 - 13:30
Production Automation Systems, VL, Thu. 08.10.20 10:15 - 11:45
Deep Learning and Neural Nets I, UE, Mon. 05.10.20 13:45 - 15:15
Pervasive Computing: Systems and Environments, UE, Wed. 07.10.20 12:00 - 12:45
Probabilistic Models, UE, Tue. 06.10.20 11:00 - 11:45
Automatic Control 2, UE, Wed. 14.10.20 15:30 - 17:00
Chemistry for Physicist II, VO, Wed. 07.10.20 13:45 - 15:15
Basic Methods of Data Analysis, KV, Thu. 08.10.20 15:30 - 17:00
Visual Analytics, UE, Tue. 06.10.20 10:15 - 11:45
Artificial Intelligence in Society, KV, Mon. 12.10.20 08:30 - 11:45
Automatic Control 2, UE, Wed. 14.10.20 12:00 - 13:30
Optimum and Adaptive Signal Processing Systems, VL, Thu. 08.10.20 08:30 - 10:00
Computational Statistics, KV, Wed. 07.10.20 12:00 - 13:30
Medical Imaging, UE, Mon. 05.10.20 16:15 - 17:00
