Model Checking, KV, Thu. 08.10.20 08:30 - 10:00
Debugging, KV, Wed. 11.11.20 16:15 - 20:30
Radar Signal Processing, UE, Wed. 07.10.20 15:30 - 17:00
Medical Imaging, UE, Mon. 05.10.20 16:15 - 17:00
Probabilistic Models, VL, Tue. 06.10.20 09:15 - 11:00
Signal and Systems 2, UE, Mon. 12.10.20 12:00 - 13:30
Deep Learning and Neural Nets I, VL, Fri. 09.10.20 10:15 - 11:45
Practical Work in AI (Master) Machine Learning, PR, Thu. 08.10.20 08:30 - 10:00
Basic Methods of Data Analysis, KV, Thu. 08.10.20 17:15 - 18:45
Topics in Genetics & Evolution, KV, Tue. 06.10.20 08:15 - 10:00
Project Management, KV, Mon. 12.10.20 08:30 - 11:45
Automatic Control 2, UE, Wed. 14.10.20 13:45 - 15:15
Medical Imaging, UE, Mon. 05.10.20 14:30 - 15:15
Medical Imaging, VL, Mon. 05.10.20 12:00 - 14:30
Computer Forensics and IT Law, VL, Thu. 08.10.20 12:00 - 13:30
Knowledge and Data Based Modelling, VL, Thu. 08.10.20 10:15 - 11:45
Radar Signal Processing, VO, Wed. 07.10.20 13:45 - 17:00
Sequence Analysis and Phylogenetics, UE, Fri. 09.10.20 12:00 - 13:30
Pervasive Computing: Design and Development, UE, Wed. 07.10.20 12:45 - 13:30
Stochastic processes, UE, Tue. 13.10.20 15:30 - 17:00
Thinking, Speaking, Writing Understanding and Creating Mathematical Proofs, VO, Tue. 06.10.20 13:45 - 15:15
LSTM and Recurrent Neural Nets, VL, Mon. 05.10.20 15:30 - 17:00
Pervasive Computing: Design and Development, VL, Wed. 07.10.20 10:15 - 11:45
Visual Analytics, UE, Tue. 06.10.20 10:15 - 11:45
Visual Analytics, VL, Mon. 05.10.20 10:15 - 11:45
Molecular biology of the cell I, VO, Fri. 09.10.20 13:45 - 16:15
Visual Analytics, UE, Tue. 06.10.20 08:30 - 10:00
Automatic Control 2, UE, Wed. 14.10.20 12:00 - 13:30
AI and Law I, VL, Fri. 09.10.20 12:00 - 13:30
Ethics and Gender Studies Gender beyond technological impact assessment, VO, Tue. 06.10.20 12:45 - 17:00
Artificial Intelligence in Society, KV, Mon. 12.10.20 08:30 - 11:45
Medical Imaging, UE, Mon. 05.10.20 15:30 - 16:15
Visual Analytics, UE, Fri. 09.10.20 10:15 - 11:45
Computer Algebra, UE, Tue. 06.10.20 15:30 - 16:15
Sequence Analysis and Phylogenetics, VL, Mon. 05.10.20 15:30 - 17:00
